long,long,float,float,float,float,float,float,float,float,float,float,float,float,float,
61,1,0.698131978512,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
121,1,0.698131978512,0.872664988041,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
161,1,0.698131978512,0.872664988041,10.0,120.0,0.0,0.0,0.0,0.0,-5.0,5.0,19.2900009155,0.0,0.0,
181,1,0.698131978512,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
221,1,-0.261799007654,0.785398006439,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
222,1,0.698131978512,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
241,1,0.349065989256,0.872664988041,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
261,1,0.698131978512,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
281,1,0.698131978512,0.872664988041,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
301,1,0.698131978512,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
361,1,0.698131978512,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
381,1,0.698131978512,0.872664988041,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
382,1,0.698131978512,0.872664988041,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
441,1,-0.436331987381,-2.09439492226,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,5.0,0.0,
463,1,-0.261799007654,0.698131978512,35.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
481,1,-0.261799007654,1.57079601288,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
501,1,0.698131978512,0.872664988041,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
502,1,0.523599028587,1.30899703503,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
526,1,0.523599028587,1.57079601288,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
561,1,-0.261799007654,1.57079601288,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
581,1,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,
582,1,-0.523599028587,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
602,1,0.523599028587,0.523599028587,7.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
603,1,0.349065989256,0.523599028587,10.0,16.0,0.0872659981251,0.174532994628,0.349065989256,0.523599028587,20.0,50.0,19.2900009155,0.0,0.0,
621,1,0.785398006439,0.785398006439,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,3.0,0.0,
623,1,0.698131978512,0.872664988041,10.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
625,1,0.0,0.0,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,
626,1,0.0,0.698131978512,20.0,30.0,0.523599028587,-0.523599028587,-0.174532994628,0.174532994628,0.0,0.0,-4.90000009537,2.0,0.0,
642,1,-0.261799007654,1.57079601288,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
661,1,0.698131978512,0.872664988041,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
701,1,-0.785398006439,-0.785398006439,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.80000019073,0.0,0.0,
762,1,0.785398006439,0.785398006439,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
763,63,0.698131978512,1.39626300335,10.0,120.0,-0.0226889997721,0.0226889997721,-0.0174529999495,0.0174529999495,-10.0,10.0,19.2800006866,0.0,0.0,
764,1,-0.349065989256,1.57079601288,50.0,55.4799995422,0.0,0.0174529999495,0.0,0.0,0.0,0.0,6.28999996185,0.0,0.0,
766,1,0.349065989256,0.349065989256,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
781,1,-0.349065989256,1.57079601288,50.0,55.4799995422,0.0,0.0174529999495,0.0,0.0,0.0,0.0,6.28999996185,0.0,0.0,
841,1,0.785398006439,0.785398006439,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
862,1,-0.785398006439,0.174532994628,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
903,1,0.0,0.0,50.0,55.4799995422,0.0,0.0,0.0,0.0,0.0,0.0,9.28999996185,0.0,0.0,
923,1,-0.785398006439,0.174532994628,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
944,17,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,
945,1,0.261799007654,0.261799007654,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
982,1,0.0,0.523599028587,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,
1002,1,-0.698131978512,-1.04719805717,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1003,1,0.0,0.872664988041,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1004,1,0.0,0.872664988041,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1005,1,0.698131978512,0.872664988041,60.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1006,1,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,
1007,1,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20000004768,0.0,
1022,1,-0.261799007654,1.57079601288,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
1023,1,-0.261799007654,1.04719805717,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,
1024,1,0.523599028587,1.57079601288,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
1062,1,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,25.2900009155,90.0,0.0,
1102,1,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,
1162,1,0.0,0.0,50.0,55.4799995422,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,
1182,1,0.0,0.0,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,
1222,1,0.698131978512,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1263,1,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
1264,1,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
1265,1,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
1266,1,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
1267,1,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,
1342,19,0.523599028587,1.57079601288,25.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1364,17,-0.261799007654,1.04719805717,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,5.0,
1365,17,-0.523599028587,1.04719805717,120.0,120.0,0.0,0.0,-0.191985994577,-0.191985994577,0.0,0.0,0.0,2.0,5.0,
1372,1,0.872664988041,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1382,1,0.523599028587,1.04719805717,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,
1402,17,0.523599028587,1.57079601288,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
1422,17,0.0,1.57079601288,20.0,90.0,0.0,0.0,-0.0872659981251,-0.0872659981251,0.0,0.0,19.0,0.0,3.0,
1442,1,0.0872659981251,0.0872659981251,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,
1482,1,-0.261799007654,1.04719805717,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,
1522,17,0.0,0.0,75.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14999997616,4.0,
1523,17,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,
1662,1,0.523599028587,1.04719805717,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,
1682,17,0.523599028587,1.57079601288,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
1702,17,-0.523599028587,1.04719805717,120.0,120.0,0.0,0.0,-0.191985994577,-0.191985994577,0.0,0.0,0.0,2.0,5.0,
1802,1,-0.261799007654,1.57079601288,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
1824,3,0.698131978512,0.872664988041,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3999996185,0.0,0.0,
1863,1,0.872664988041,0.872664988041,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1882,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
1902,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
1922,1,-0.261799007654,0.785398006439,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1962,1,0.872664988041,0.872664988041,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
1982,1,0.872664988041,0.872664988041,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2022,1,-0.261799007654,1.57079601288,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2023,1,-0.261799007654,0.785398006439,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2024,1,-0.261799007654,1.04719805717,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,
2042,1,-0.261799007654,1.57079601288,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2062,1,-0.261799007654,0.785398006439,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2063,1,-0.261799007654,0.785398006439,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2162,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2163,1,0.872664988041,0.872664988041,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2164,1,0.872664988041,0.872664988041,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2165,1,0.872664988041,0.872664988041,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2166,1,-0.261799007654,1.57079601288,60.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2264,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2342,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2362,1,-0.261799007654,1.04719805717,65.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,
2503,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2674,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2675,1,-0.261799007654,1.57079601288,90.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,
2694,1,0.0,1.57079601288,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2702,17,0.523599028587,0.523599028587,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,4.0,
2704,1,0.698131978512,0.872664988041,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
2706,1,-0.349065989256,0.872664988041,30.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2900009155,0.0,0.0,
